Table 1
SI.No,Category,Test Code,Test Names,Test Name-Telugu,Symptoms,Symptoms In telugu,,,
33,,DRS002,25-Hydroxy Vitamin D-Serum,25-హైడ్రాక్సీ విటమిన్ డి-సీరం,"Bone pain, fatigue, muscle weakness, frequent fractures","ఎముకల నొప్పి, అలసట, కండరాల బలహీనత, తరచుగా ఎముకలు విరగడం",,,
34,,DRS065,Creatinine Kinase (CPK)-Serum,క్రియాటినిన్ కైనేజ్ (CPK)-సీరం,"Muscle pain, muscle weakness, chest pain","కండరాల నొప్పి, కండరాల బలహీనత, ఛాతి నొప్పి",,,
35,,DRS133,Liver Function Test (LFT)-Serum,లివర్ ఫంక్షన్ టెస్ట్ (LFT)-సీరం,"Jaundice, abdominal pain, fatigue","కామెర్లు, పొట్ట నొప్పి, అలసట",,,
36,,DRS127,Kidney Function Test (KFT)-Serum,కిడ్నీ ఫంక్షన్ టెస్ట్ (KFT)-సీరం,"Swelling, fatigue, reduced urine output","వాపు, అలసట, మూత్రం తగ్గడం",,,
37,,DRS056,Complete Urine Analysis (CUE)-Urine,కంప్లీట్ యూరిన్ అనాలిసిస్,"Burning urination, infection, kidney issues","మూత్రంలో మంట, సంక్రామణ, కిడ్నీ సమస్యలు",,,
38,,DRS011,Amylase-Serum,అమైలేస్-సీరం,"Abdominal pain, pancreatitis suspicio","పొట్ట నొప్పి, ప్యాంక్రియాటైటిస్ అనుమానం",,,
39,,DRS130,Lipase-Serum,లైపేస్-సీరం,"Severe abdominal pain, pancreatic disease","తీవ్రమైన పొట్ట నొప్పి, ప్యాంక్రియాస్ వ్యాధి",,,
40,,DRS080,Electrolyte Profile-Serum,ఎలక్ట్రోలైట్ ప్రొఫైల్-సీరం,"Dehydration, muscle cramps, weakness","డీహైడ్రేషన్, కండరాల ముల్లు, బలహీనత",,,
41,Cold,DRS048,CBP,సంపూర్ణ రక్త పరీక్ష (సీబీసీ),"Weakness, infection, anemia signs","బలహీనత, సంక్రామణ, రక్తహీనత లక్షణాలు",,,
42,,DRS081,Erythrocyte Sedimentation Rate (ESR),ఎరిత్రోసైట్ సెడిమెంటేషన్ రేట్ (ESR),"Fever, infection, joint pain, inflammation","జ్వరం, సంక్రామణ, కీళ్ల నొప్పి, వాపు",,,
43,,DRS062,C-Reactive Protein (CRP)-Serum,సి-రియాక్టివ్ ప్రోటీన్ (CRP)-సీరం,"Fever, inflammation, body pain","జ్వరం, వాపు, శరీర నొప్పులు",,,
44,,DRS115,IgE-Total-Serum,IgE-మొత్తం-సీరం,"Allergy, sneezing, itching","అలర్జీ, తుమ్ములు, దురద",,,
45,,DRS078,Dengue Profile (Antibody & NS1 Antigen) IGG &IGM ) RAPID,డెంగ్యూ ప్రొఫైల్ (యాంటీబాడీ & NS1 యాంటిజెన్) IGG & IGM ర్యాపిడ్,"High fever, body pain, low platelets","అధిక జ్వరం, శరీర నొప్పులు, ప్లేట్",,,
46,Cough,DRS048,CBP,సంపూర్ణ రక్త పరీక్ష (సీబీసీ),"Weakness, infection, anemia signs","బలహీనత, సంక్రామణ, రక్తహీనత లక్షణాలు",,,
47,,DRS062,C-Reactive Protein (CRP)-Serum,సి-రియాక్టివ్ ప్రోటీన్ (CRP)-సీరం,"Fever, inflammation, body pain","జ్వరం, వాపు, శరీర నొప్పులు",,,
48,,DRS081,Erythrocyte Sedimentation Rate (ESR),ఎరిత్రోసైట్ సెడిమెంటేషన్ రేట్ (ESR),"Fever, infection, joint pain, inflammation","జ్వరం, సంక్రామణ, కీళ్ల నొప్పి, వాపు",,,
49,,DRS115,IgE-Total-Serum,IgE-మొత్తం-సీరం,"Allergy, sneezing, itching","అలర్జీ, తుమ్ములు, దురద",,,
50,Sugar,DRS091,Glucose-Blood-Fasting,గ్లూకోజ్-బ్లడ్-ఫాస్టింగ్,"Excess thirst, frequent urination, fatigue","అధిక దాహం, తరచుగా మూత్ర విసర్జన, అలసట",,,
51,,DRS092,Glucose-Blood-Post Prandial(PP),గ్లూకోజ్-రక్తం-భోజనం తర్వాత (PP),"Excess thirst, frequent urination, tiredness","అధిక దాహం, తరచుగా మూత్రం, అలసట",,,
52,,DRS093,Glucose-Blood-Random-WB-Na Fluoride,గ్లూకోజ్-రక్తం-రాండమ్-WB-Na ఫ్లోరైడ్,"Sudden weakness, dizziness, diabetes symptoms","అకస్మాత్తుగా బలహీనత, తల తిరగడం, మధుమేహ లక్షణాలు",,,
53,,DRS094,Glycosylated Hemoglobin (GHb/HbA1c)-WB-EDTA,గ్లైకోసిలేటెడ్ హిమోగ్లోబిన్ (GHb/HbA1c)-WB-EDTA,"Diabetes monitoring, fatigue, blurred vision","మధుమేహం పర్యవేక్షణ, అలసట, మసక చూపు",,,
54,,DRS137,Microalbuminuria-Urine,మైక్రోఅల్బ్యుమినూరియా-మూత్రం,"Diabetes, kidney damage, swelling","మధుమేహం, మూత్రపిండాల నష్టం, వాపు",,,
55,,DRS127,Kidney Function Test (KFT)-Serum,కిడ్నీ ఫంక్షన్ టెస్ట్ (KFT)-సీరం,"Swelling, fatigue, reduced urine output","వాపు, అలసట, మూత్రం తగ్గడం",,,
56,,DRS131,Lipid Profile-Serum,లిపిడ్ ప్రొఫైల్-సీరం,"Chest pain, obesity, cardiovascular risk","ఛాతి నొప్పి, అధిక బరువు, గుండె సంబంధిత ప్రమాదం",,,
57,,DRS120,Insulin-Serum,ఇన్సులిన్-సీరం,"Blood sugar imbalance, fatigue, weight changes","రక్తంలో చక్కెర అసమతుల్యత, అలసట, బరువు మార్పులు",,,
58,,DRS061,C-Peptide-Serum,సి-పెప్టైడ్-సీరం,"Excess thirst, diabetes monitoring, fatigue","అధిక దాహం, మధుమేహ పర్యవేక్షణ, అలసట",,,
59,Checkup,DRS048,CBP,సంపూర్ణ రక్త పరీక్ష (సీబీసీ),"Weakness, infection, anemia signs","బలహీనత, సంక్రామణ, రక్తహీనత లక్షణాలు",,,
60,,DRS091,Glucose-Blood-Fasting,గ్లూకోజ్-బ్లడ్-ఫాస్టింగ్,"Excess thirst, frequent urination, fatigue","అధిక దాహం, తరచుగా మూత్ర విసర్జన, అలసట",,,
61,,DRS093,Glucose-Blood-Random-WB-Na Fluoride,గ్లూకోజ్-రక్తం-రాండమ్-WB-Na ఫ్లోరైడ్,"Sudden weakness, dizziness, diabetes symptoms","అకస్మాత్తుగా బలహీనత, తల తిరగడం, మధుమేహ లక్షణాలు",,,
62,,DRS094,Glycosylated Hemoglobin (GHb/HbA1c)-WB-EDTA,గ్లైకోసిలేటెడ్ హిమోగ్లోబిన్ (GHb/HbA1c)-WB-EDTA,"Diabetes monitoring, fatigue, blurred vision","మధుమేహం పర్యవేక్షణ, అలసట, మసక చూపు",,,
63,,DRS131,Lipid Profile-Serum,లిపిడ్ ప్రొఫైల్-సీరం,"Chest pain, obesity, cardiovascular risk","ఛాతి నొప్పి, అధిక బరువు, గుండె సంబంధిత ప్రమాదం",,,
64,,DRS133,Liver Function Test (LFT)-Serum,లివర్ ఫంక్షన్ టెస్ట్ (LFT)-సీరం,"Jaundice, abdominal pain, fatigue","కామెర్లు, పొట్ట నొప్పి, అలసట",,,
65,,DRS127,Kidney Function Test (KFT)-Serum,కిడ్నీ ఫంక్షన్ టెస్ట్ (KFT)-సీరం,"Swelling, fatigue, reduced urine output","వాపు, అలసట, మూత్రం తగ్గడం",,,
66,,DRS173,Thyroid Profile-Total,థైరాయిడ్ ప్రొఫైల్-టోటల్,"Weight changes, fatigue, hair loss","బరువు మార్పులు, అలసట, జుట్టు ఊడడం",,,
67,,DRS056,Complete Urine Analysis (CUE)-Urine,కంప్లీట్ యూరిన్ అనాలిసిస్,"Burning urination, infection, kidney issues","మూత్రంలో మంట, సంక్రామణ, కిడ్నీ సమస్యలు",,,
68,,DRS002,25-Hydroxy Vitamin D-Serum,25-హైడ్రాక్సీ విటమిన్ డి-సీరం,"Bone pain, fatigue, muscle weakness, frequent fractures","ఎముకల నొప్పి, అలసట, కండరాల బలహీనత, తరచుగా ఎముకలు విరగడం",,,
69,,DRS190,Vitamin-B12-Serum,విటమిన్-బి12-సీరం,"Numbness, fatigue, memory issues","మత్తుగా అనిపించడం/సూదుల్లా గుచ్చిన భావన, అలసట, జ్ఞాపకశక్తి సమస్యలు",,,
70,,DRS041,Calcium-Serum,కాల్షియం-సీరం,"Muscle cramps, tingling, bone weakness","కండరాల మలుపులు, సూదుల్లా గుచ్చినట్లు అనిపించడం, ఎముకల బలహీనత",,,
71,,DRS062,C-Reactive Protein (CRP)-Serum,సి-రియాక్టివ్ ప్రోటీన్ (CRP)-సీరం,"Fever, inflammation, body pain","జ్వరం, వాపు, శరీర నొప్పులు",,,
72,,DRS081,Erythrocyte Sedimentation Rate (ESR),ఎరిత్రోసైట్ సెడిమెంటేషన్ రేట్ (ESR),"Fever, infection, joint pain, inflammation","జ్వరం, సంక్రామణ, కీళ్ల నొప్పి, వాపు",,,
73,,DRS080,Electrolyte Profile-Serum,ఎలక్ట్రోలైట్ ప్రొఫైల్-సీరం,"Dehydration, muscle cramps, weakness","డీహైడ్రేషన్, కండరాల ముల్లు, బలహీనత",,,
74,,DRS092,Glucose-Blood-Post Prandial(PP),గ్లూకోజ్-రక్తం-భోజనం తర్వాత (PP),"Excess thirst, frequent urination, tiredness","అధిక దాహం, తరచుగా మూత్రం, అలసట",,,
75,Maleria,DRS136,Malarial Parasite Identification-WB-EDTA,మలేరియా పరాన్నజీవి గుర్తింపు-WB-EDTA,"Fever with chills, sweating, body pain","వణుకులతో జ్వరం, చెమటలు, శరీర నొప్పులు",,,
76,,DRS036,Blood Picture-Peripheral Smear Examination,రక్త చిత్రం - పెరిఫెరల్ స్మియర్ పరీక్ష,"Fever, anemia, weakness, infection signs","జ్వరం, రక్తహీనత, బలహీనత, ఇన్",,,
77,,DRS136,Malarial Parasite Identification-WB-EDTA,మలేరియా పరాన్నజీవి గుర్తింపు-WB-EDTA,"Fever with chills, sweating, body pain","వణుకులతో జ్వరం, చెమటలు, శరీర నొప్పులు",,,
78,,DRS048,CBP,సంపూర్ణ రక్త పరీక్ష (సీబీసీ),"Weakness, infection, anemia signs","బలహీనత, సంక్రామణ, రక్తహీనత లక్షణాలు",,,
79,,DRS143,Platelet Count (PC)-WB-EDTA,ప్లేట్,"Bleeding, dengue fever, easy bruising","రక్తస్రావం, డెంగ్యూ జ్వరం, సులభంగా మచ్చలు పడటం",,,
80,,DRS133,Liver Function Test (LFT)-Serum,లివర్ ఫంక్షన్ టెస్ట్ (LFT)-సీరం,"Jaundice, abdominal pain, fatigue","కామెర్లు, పొట్ట నొప్పి, అలసట",,,
81,,DRS127,Kidney Function Test (KFT)-Serum,కిడ్నీ ఫంక్షన్ టెస్ట్ (KFT)-సీరం,"Swelling, fatigue, reduced urine output","వాపు, అలసట, మూత్రం తగ్గడం",,,
82,,DRS078,Dengue Profile (Antibody & NS1 Antigen) IGG &IGM ) RAPID,డెంగ్యూ ప్రొఫైల్ (యాంటీబాడీ & NS1 యాంటిజెన్) IGG & IGM ర్యాపిడ్,"High fever, body pain, low platelets","అధిక జ్వరం, శరీర నొప్పులు, ప్లేట్",,,
83,,DRS062,C-Reactive Protein (CRP)-Serum,సి-రియాక్టివ్ ప్రోటీన్ (CRP)-సీరం,"Fever, inflammation, body pain","జ్వరం, వాపు, శరీర నొప్పులు",,,
84,,DRS081,Erythrocyte Sedimentation Rate (ESR),ఎరిత్రోసైట్ సెడిమెంటేషన్ రేట్ (ESR),"Fever, infection, joint pain, inflammation","జ్వరం, సంక్రామణ, కీళ్ల నొప్పి, వాపు",,,
85,Dengue,DRS077,Dengue NS1 RAPID,డెంగ్యూ NS1 ర్యాపిడ్,"Sudden fever, headache, joint pain","అకస్మాత్తుగా జ్వరం, తలనొప్పి, కీళ్ల నొప్పి",,,
86,,DRS076,Dengue IgM Antibody-Serum(ELISA),డెంగ్యూ IgM యాంటీబాడీ-సీరం (ఎలైసా),"Recent fever, rash, body pain","ఇటీవల జ్వరం, చర్మంపై దద్దుర్లు, శరీర నొప్పులు",,,
87,,DRS075,Dengue IgG Antibody-Serum( ELISA),డెంగ్యూ IgG యాంటీబాడీ-సీరం (ఎలైసా),"Past dengue infection, recurrent fever",గత డెంగ్యూ ఇన్,,,
88,,DRS048,CBP,సంపూర్ణ రక్త పరీక్ష (సీబీసీ),"Weakness, infection, anemia signs","బలహీనత, సంక్రామణ, రక్తహీనత లక్షణాలు",,,
89,,DRS078,Dengue Profile (Antibody & NS1 Antigen) IGG &IGM ) RAPID,డెంగ్యూ ప్రొఫైల్ (యాంటీబాడీ & NS1 యాంటిజెన్) IGG & IGM ర్యాపిడ్,"High fever, body pain, low platelets","అధిక జ్వరం, శరీర నొప్పులు, ప్లేట్",,,
90,,DRS143,Platelet Count (PC)-WB-EDTA,ప్లేట్,"Bleeding, dengue fever, easy bruising","రక్తస్రావం, డెంగ్యూ జ్వరం, సులభంగా మచ్చలు పడటం",,,
91,,DRS133,Liver Function Test (LFT)-Serum,లివర్ ఫంక్షన్ టెస్ట్ (LFT)-సీరం,"Jaundice, abdominal pain, fatigue","కామెర్లు, పొట్ట నొప్పి, అలసట",,,
92,,DRS127,Kidney Function Test (KFT)-Serum,కిడ్నీ ఫంక్షన్ టెస్ట్ (KFT)-సీరం,"Swelling, fatigue, reduced urine output","వాపు, అలసట, మూత్రం తగ్గడం",,,
93,,DRS080,Electrolyte Profile-Serum,ఎలక్ట్రోలైట్ ప్రొఫైల్-సీరం,"Dehydration, muscle cramps, weakness","డీహైడ్రేషన్, కండరాల ముల్లు, బలహీనత",,,
94,,DRS136,Malarial Parasite Identification-WB-EDTA,మలేరియా పరాన్నజీవి గుర్తింపు-WB-EDTA,"Fever with chills, sweating, body pain","వణుకులతో జ్వరం, చెమటలు, శరీర నొప్పులు",,,
95,,DRS062,C-Reactive Protein (CRP)-Serum,సి-రియాక్టివ్ ప్రోటీన్ (CRP)-సీరం,"Fever, inflammation, body pain","జ్వరం, వాపు, శరీర నొప్పులు",,,
96,,DRS081,Erythrocyte Sedimentation Rate (ESR),ఎరిత్రోసైట్ సెడిమెంటేషన్ రేట్ (ESR),"Fever, infection, joint pain, inflammation","జ్వరం, సంక్రామణ, కీళ్ల నొప్పి, వాపు",,,
97,Vitamin,DRS002,25-Hydroxy Vitamin D-Serum,25-హైడ్రాక్సీ విటమిన్ డి-సీరం,"Bone pain, fatigue, muscle weakness, frequent fractures","ఎముకల నొప్పి, అలసట, కండరాల బలహీనత, తరచుగా ఎముకలు విరగడం",,,
98,,DRS190,Vitamin-B12-Serum,విటమిన్-బి12-సీరం,"Numbness, fatigue, memory issues","మత్తుగా అనిపించడం/సూదుల్లా గుచ్చిన భావన, అలసట, జ్ఞాపకశక్తి సమస్యలు",,,
99,,DRS087,Folate Serum (Folic Acid)-Serum,ఫోలేట్ సీరం (ఫోలిక్ ఆమ్లం)-సీరం,"Fatigue, anemia, weakness","అలసట, రక్తహీనత, బలహీనత",,,
100,,DRS041,Calcium-Serum,కాల్షియం-సీరం,"Muscle cramps, tingling, bone weakness","కండరాల మలుపులు, సూదుల్లా గుచ్చినట్లు అనిపించడం, ఎముకల బలహీనత",,,
101,,DRS125,Iron Defficiency Profile-I,ఇనుము లోపం ప్రొఫైల్-I,"Fatigue, weakness, pale skin, dizziness, shortness of breath, hair fall","అలసట, బలహీనత, చర్మం వెలిసిపోవడం, తల తిరగడం, శ్వాస తీసుకోవడంలో ఇబ్బంది, జుట్టు రాలడం",,,
102,,DRS048,CBP,సంపూర్ణ రక్త పరీక్ష (సీబీసీ),"Weakness, infection, anemia signs","బలహీనత, సంక్రామణ, రక్తహీనత లక్షణాలు",,,
103,,DRS114,Homocysteine-Serum,హోమోసిస్టైన్-సీరం,"Heart risk, numbness, weakness","గుండె ప్రమాదం, నిస్సత్తువ, బలహీనత",,,
